Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,107.720001,107.720001,106.870003,107.150002,100.697571,974600
2021-09-02,107.410004,107.930000,107.410004,107.930000,101.430595,848500
2021-09-03,107.769997,107.879997,107.410004,107.580002,101.101677,566100
2021-09-07,107.470001,107.480003,106.529999,106.559998,100.143097,880700
2021-09-08,106.370003,106.730003,106.110001,106.550003,100.133705,766900
2021-09-09,106.360001,106.839996,105.900002,105.989998,99.607407,746500
2021-09-10,106.500000,106.629997,105.400002,105.449997,99.099930,896900
2021-09-13,106.169998,106.639999,105.620003,106.190002,99.795387,1065400
2021-09-14,106.470001,106.510002,104.790001,105.120003,98.789818,1098000
2021-09-15,105.050003,106.260002,105.029999,106.050003,99.663818,858500
2021-09-16,106.150002,106.339996,105.010002,105.550003,99.193939,1106400
2021-09-17,105.239998,105.570000,104.720001,104.860001,98.545486,1427200
2021-09-20,102.620003,102.989998,101.370003,102.500000,97.020599,2632900
2021-09-21,103.080002,103.370003,102.160004,102.300003,96.831284,1525500
2021-09-22,103.139999,103.919998,102.970001,103.209999,97.692635,1325700
2021-09-23,103.760002,105.110001,103.599998,104.610001,99.017799,1349100
2021-09-24,104.440002,105.199997,104.400002,104.839996,99.235497,2141600
2021-09-27,105.120003,105.959999,105.120003,105.519997,99.879143,902400
2021-09-28,105.379997,105.620003,104.220001,104.400002,98.819023,1232400
2021-09-29,104.610001,105.360001,104.260002,104.910004,99.301765,900700
2021-09-30,105.199997,105.360001,103.309998,103.349998,97.825142,1262300
2021-10-01,103.910004,105.059998,103.029999,104.610001,99.017799,1172800
2021-10-04,104.470001,105.300003,103.790001,104.330002,98.752762,1343600
2021-10-05,104.739998,105.599998,104.370003,105.059998,99.443733,897400
2021-10-06,104.370003,105.250000,103.699997,105.220001,99.595177,1124700
2021-10-07,105.839996,106.629997,105.839996,105.970001,100.305099,826800
2021-10-08,106.050003,106.250000,105.730003,105.959999,100.295624,701400
2021-10-11,106.120003,106.550003,105.190002,105.220001,99.595177,1020400
2021-10-12,105.290001,105.430000,104.570000,104.820000,99.216576,884900
